,LINK_ID,HOUR,SPEED
401,4130019700,6,32.6
402,4130019700,7,28.4
403,4130019700,8,25.8
404,4130019700,9,26.4
405,4130019700,10,25.6
406,4130019700,11,27.6
407,4130019700,12,30.4
408,4130019700,13,32.55555555555556
409,4130019700,14,29.9
410,4130019700,15,30.3
411,4130019700,16,33.1
412,4130019700,17,33.2
413,4130019700,18,33.9
414,4130019700,19,36.0
415,4130019700,20,33.5
416,4130019700,21,30.8
417,4130019700,22,31.2
418,4130019700,23,33.1
419,4130019800,0,43.0
420,4130019800,1,43.0
421,4130019800,2,43.0
422,4130019800,3,42.4
423,4130019800,4,42.0
424,4130019800,5,42.4
425,4130019800,6,43.3
426,4130019800,7,42.5
427,4130019800,8,40.4
428,4130019800,9,36.0
429,4130019800,10,32.9
430,4130019800,11,30.6
431,4130019800,12,28.5
432,4130019800,13,30.22222222222222
433,4130019800,14,28.9
434,4130019800,15,28.6
435,4130019800,16,28.0
436,4130019800,17,26.8
437,4130019800,18,29.4
438,4130019800,19,27.2
439,4130019800,20,30.5
440,4130019800,21,31.6
441,4130019800,22,33.4
442,4130019800,23,33.9
443,4130019900,9,30.0
444,4130019900,17,26.0
445,4130019900,19,29.0
446,4130019900,20,54.0
447,4130019900,23,52.0
448,4130020000,10,21.0
449,4130020000,11,14.0
450,4130020000,15,40.0
451,4130020000,18,43.0
452,4130020000,19,12.0
453,4130020100,9,21.0
454,4130020100,16,24.0
455,4130020200,18,28.0
456,4130020200,19,17.0
457,4130020300,0,36.0
458,4130020300,1,36.0
459,4130020300,2,36.0
460,4130020300,3,36.0
461,4130020300,4,36.0
462,4130020300,5,36.0
463,4130020300,6,27.75
464,4130020300,7,23.75
465,4130020300,8,23.0
466,4130020300,9,23.0
467,4130020300,10,22.5
468,4130020300,11,22.875
469,4130020300,12,23.125
470,4130020300,13,22.571428571428573
471,4130020300,14,23.5
472,4130020300,15,23.125
473,4130020300,16,22.125
474,4130020300,17,21.75
475,4130020300,18,21.125
476,4130020300,19,20.625
477,4130020300,20,20.125
478,4130020300,21,19.625
479,4130020300,22,19.625
480,4130020300,23,19.625
481,4130020400,0,36.0
482,4130020400,1,36.0
483,4130020400,2,36.0
484,4130020400,3,36.0
485,4130020400,4,36.0
486,4130020400,5,36.0
487,4130020400,6,27.0
488,4130020400,7,23.285714285714285
489,4130020400,8,23.428571428571427
490,4130020400,9,23.857142857142858
491,4130020400,10,23.857142857142858
492,4130020400,11,22.714285714285715
493,4130020400,12,21.571428571428573
494,4130020400,13,20.833333333333332
495,4130020400,14,22.0
496,4130020400,15,18.142857142857142
497,4130020400,16,17.0
498,4130020400,17,17.571428571428573
499,4130020400,18,21.0
500,4130020400,19,23.571428571428573
